runtime_path	sha256	provenance_group	evidence	license
assets/frozendawn/sounds/entity/aggregate/slam_3.ogg	e9c196458c8d5b72bad46af17df07f7805e5c5f7f69a6c159a690c5c00d7ff3d	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/archivist/ambient_1.ogg	3bcd99f075a931367764d1bf76b2dcdd29e30d4e2258cd367b128e8cba7e863a	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/ambient_2.ogg	943be93094450907ce1a1b3fbaedb8de7ae7d6a5cfd2f5bda6eb0073af4e6c0d	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/ambient_3.ogg	39a095f24125cd2a408cd55ef93350e683eb11efb48b5401c92b04331b81e934	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/death.ogg	9297863a46ce2e34406854804732a885cba85c70619ece81a69873bdaea0acdb	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/hurt_1.ogg	1134d422628c57c62eb7a28460d2dc10b75924c99962c9dd996b1ffaff9c0be4	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/hurt_2.ogg	094b61e66e4b248816d802f05f5762810088fbea2b3bd8ce78dc6902fdbdd581	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/pack_1.ogg	72ac9b4cd454f7a49464d91484d45d3f43741be477bbac025921b63b3d11a3bd	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/pack_2.ogg	42465deb709ee5310c02c12ee2ad14d133a71085960406ecf17f8012e441feb1	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/scream.ogg	24ff74b65ae38786deac5bf3a6cf34674e461a3f88a74d47b5635744ff82b12c	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sob_1.ogg	092a9e5908c41f27b78234015e1e09438396441d8af3c2f262db18f07762e8e1	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sob_2.ogg	21dd4f71ced642c2a0c26d2639f4f9ce61198b06be8b61751965b33356f59667	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sob_3.ogg	37695e7f32b0f5576b5aadea85ba2d615cd8f0a783fe7283603643ef3b1a4036	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sob_4.ogg	d663bbd9ede867e4aa1709e8101f63017c1d0cc07d044e292b4c4744ea251dcd	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sob_5.ogg	cbcdcb53fbae4d25f96f40bb2ea699c6c65a393e0f4fb16b83dd466e642f4b6f	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sob_6.ogg	eff87def4510a9643e062d9a25c2220d2dfe5a883eb4afafda086f985fc947cf	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sob_7.ogg	d14dab4ca2c92921e6a0a0360cfd7a4b268ff2d19a9549d21fb7389c410ceaa7	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sob_8.ogg	4899258151364ad6d5b48d4879a376119926c2680faf01638554ace44487a24a	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sort_1.ogg	8c1dcb90b08a7d64f1343cf93e0c6d630a9cb65f2f25366b5177b2d3f35b4500	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/sort_2.ogg	468d1ada477f2e433b837811811c0133b49ea4efc5a78477bea1b4ad4f30fbc8	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/step_1.ogg	4ae57716fd4bf81e3e90ea068e6fb4edd272b47d30aa313d6b9cc7b9cc19d768	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/archivist/step_2.ogg	6890ec6201d7cc69538df9b4f48439b492392ffadc2c935d9e8bde56affe4b1d	archivist_mixed	tools/audio_sources/archivist/SOURCES.md	CC0, CC BY 4.0, and original
assets/frozendawn/sounds/entity/bloom_spore/ambient.ogg	e936a8f809b08b546b225bcce961c695a2492826845fb2bf25bfb7ddc4f3f956	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloom_spore/collapse.ogg	26f29d4b3434c6f245164d0051c18e233dcdd87d8769e9138600b6325832126f	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloom_spore/contact.ogg	b2c408d1d277263b66f7b2f6f7973bd9d60aeeecaa2dea3725d48e39016e3fdb	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloom_spore/corpse_break.ogg	98b7124c0a59b50db76dd0ab2eb3310cc49249186d7d950e05f793f57039efc3	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloom_spore/corpse_strike.ogg	51f87e35e9c0fa35bfe6ce62c9ac1e515ac1f00e18abb9199f0a366262a6c5f3	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloom_spore/death.ogg	003df8a78e924335a157a17e92761bda24b3f636516f7325c20cf7c0c2824e9a	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloom_spore/growth_start.ogg	049806f894b094d710fc842a475490c3530ad1d0084e7209ec67dde6bc9e7abd	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloom_spore/step.ogg	a1ee5470d9676af864822f3c23b6cf08aac6ea215cdacd72bef9ef095b09bb6c	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloombound_undone/ambient_1.ogg	8f233da12f5fa86ddeb5dd1d0fdfb11df00dae8113417bafc7407b51432e8b89	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloombound_undone/ambient_2.ogg	d741241ca053974afae360a7a1ae82f3049eec98770ba93523404458ae093500	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloombound_undone/attack.ogg	eedf4cb08d8edbebcd0010bb9cb61df8db607afba2ed8d3a4c9d5635a6a31af2	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/bloombound_undone/death.ogg	7d6d07592c252703bb4792654bd3392b55351f05dd62cce46ae99c794f6456f6	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
